id,name,reviewed,category_auto,category_truth,category_match,footwearSubcategory_auto,footwearSubcategory_truth,footwearSubcategory_match,primaryColor_auto,primaryColor_truth,primaryColor_match,formality_auto,formality_truth,formality_match,warmth_auto,warmth_truth,warmth_match,seasons_auto,seasons_truth,seasons_match,fit_auto,fit_truth,fit_match,topLength_auto,topLength_truth,topLength_match,bottomVolume_auto,bottomVolume_truth,bottomVolume_match,structure_auto,structure_truth,structure_match,fabricWeight_auto,fabricWeight_truth,fabricWeight_match,patternType_auto,patternType_truth,patternType_match,patternScale_auto,patternScale_truth,patternScale_match,texture_auto,texture_truth,texture_match,archetype_auto,archetype_truth,archetype_match
927A43F5-4DF0-49D3-8274-232F46663A70,Accessory,yes,accessory,top,0,,,1,mauve,ivory,0,0,0,1,0,0,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,,slim,0,,cropped,0,,,1,,soft,0,,light,0,solid,solid,1,none,none,1,subtleTexture,smooth,0,boho,minimalist,0
C484511D-53CC-415F-8904-53D23B772042,Accessory,yes,accessory,top,0,,,1,forest,forest,1,0,0,1,0,0,1,autumn+spring+summer+winter,spring+summer,0,,slim,0,,cropped,0,,,1,,,1,,light,0,solid,solid,1,none,none,1,textured,smooth,0,classic,boho,0
66E7962B-386E-4196-B0A9-A3E772E46FBD,Accessory,yes,accessory,top,0,,,1,navy,navy,1,3,0,0,0,0,1,autumn+spring+summer+winter,spring+summer,0,,slim,0,,cropped,0,,,1,,structured,0,,light,0,solid,stripe,0,none,small,0,subtleTexture,subtleTexture,1,classic,minimalist,0
22B76724-DD50-49B5-98FF-8DDC56E65EA1,Accessory,yes,accessory,dress,0,,,1,ink,ink,1,1,3,0,0,0,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,,slim,0,,,1,,,1,,soft,0,,light,0,solid,floral,0,none,large,0,subtleTexture,smooth,0,classic,romantic,0
5C5A5A1B-88EE-454E-AB9B-948053E74048,Bottom,yes,bottom,dress,0,,,1,rust,rust,1,1,1,1,0,0,1,autumn+spring+summer,autumn+spring+summer,1,regular,regular,1,,,1,straight,,0,semiStructured,semiStructured,1,medium,light,0,solid,floral,0,none,medium,0,textured,subtleTexture,0,classic,boho,0
9BECC841-3E9F-42B4-B65C-CA74A576A246,Bottom,yes,bottom,bottom,1,,,1,ink,ink,1,0,1,0,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,regular,regular,1,,,1,straight,straight,1,semiStructured,semiStructured,1,medium,medium,1,solid,stripe,0,none,small,0,subtleTexture,subtleTexture,1,classic,classic,1
D3B66B1A-33C4-49F3-A6D2-FC630B923D79,Bottom,yes,bottom,bottom,1,,,1,slate,forest,0,0,0,1,0,0,1,spring+summer,spring+summer,1,regular,regular,1,,,1,straight,straight,1,semiStructured,semiStructured,1,medium,medium,1,solid,solid,1,none,none,1,textured,smooth,0,sporty,sporty,1
219C13F6-FF89-4FEE-A929-774A8BBAD00A,Bottom,yes,bottom,top,0,,,1,mauve,ivory,0,1,0,0,0,0,1,autumn+spring+summer,spring+summer,0,regular,regular,1,,cropped,0,straight,,0,semiStructured,semiStructured,1,medium,light,0,solid,floral,0,none,small,0,subtleTexture,subtleTexture,1,romantic,classic,0
E5209682-ECCC-481B-A168-FDE6E6E95C89,Bottom,yes,bottom,bottom,1,,,1,ink,ink,1,1,0,0,0,0,1,autumn+spring+summer,autumn+spring+summer,1,regular,regular,1,,,1,straight,straight,1,semiStructured,semiStructured,1,medium,medium,1,solid,solid,1,none,none,1,textured,smooth,0,boho,sporty,0
35F517D9-DE78-4FD9-A6F3-F5D5377AF077,Bottom,yes,bottom,top,0,,,1,chocolate,burgundy,0,0,0,1,0,0,1,spring+summer,spring+summer,1,regular,slim,0,,cropped,0,slim,,0,semiStructured,semiStructured,1,medium,medium,1,solid,solid,1,none,none,1,subtleTexture,subtleTexture,1,sporty,boho,0
DA926F8C-8643-4C6C-85F0-834C67247F92,Bottom,yes,bottom,dress,0,,,1,mauve,burgundy,0,1,1,1,0,0,1,autumn+spring+summer,autumn+spring+summer,1,regular,regular,1,,,1,straight,,0,semiStructured,soft,0,medium,light,0,solid,floral,0,none,small,0,textured,smooth,0,boho,boho,1
1466C0FD-8173-4054-A72B-592A4D537EBD,Bottom,yes,bottom,bottom,1,,,1,forest,navy,0,1,1,1,0,0,1,autumn+spring+summer,autumn+spring+summer,1,regular,regular,1,,,1,straight,straight,1,semiStructured,soft,0,medium,medium,1,solid,solid,1,none,none,1,subtleTexture,smooth,0,romantic,romantic,1
F3FFE725-B39D-4C83-8FE9-F4D62BEF02A5,Bottom,yes,bottom,dress,0,,,1,charcoal,charcoal,1,1,3,0,0,0,1,autumn+spring+summer,autumn+spring+summer,1,regular,slim,0,,,1,wide,,0,semiStructured,soft,0,medium,light,0,solid,solid,1,none,none,1,subtleTexture,smooth,0,romantic,romantic,1
2F2C3824-588B-4927-ADA2-B22E61AF014D,Bottom,yes,bottom,bottom,1,,,1,sage,oat,0,0,1,0,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,regular,regular,1,,,1,straight,straight,1,semiStructured,soft,0,medium,medium,1,solid,solid,1,none,none,1,smooth,smooth,1,classic,preppy,0
D2C13082-68AB-42AE-B667-63A2DDA4AE8E,Bottom,yes,bottom,dress,0,,,1,mauve,sage,0,1,1,1,0,0,1,autumn+spring+summer,autumn+spring+summer,1,regular,regular,1,,,1,straight,,0,semiStructured,semiStructured,1,medium,medium,1,solid,floral,0,none,medium,0,textured,subtleTexture,0,boho,boho,1
6DBD2DD9-5C72-4A5E-B898-EBF0DB0DCA65,Bottom,yes,bottom,dress,0,,,1,tobacco,tobacco,1,1,1,1,0,0,1,autumn+spring+summer,autumn+spring+summer,1,regular,slim,0,,,1,straight,,0,semiStructured,soft,0,medium,light,0,solid,solid,1,none,none,1,subtleTexture,smooth,0,boho,romantic,0
83799912-64A6-4559-BAB8-EB218B33B0A0,Bottom,yes,bottom,top,0,,,1,slate,denim,0,0,0,1,0,0,1,spring+summer,spring+summer,1,regular,slim,0,,cropped,0,wide,,0,semiStructured,semiStructured,1,medium,light,0,solid,stripe,0,none,small,0,subtleTexture,subtleTexture,1,sporty,classic,0
E8D8F75E-A30D-429E-9BAE-3B360CCA8C00,Bottom,yes,bottom,bottom,1,,,1,mauve,mauve,1,0,0,1,0,0,1,spring+summer,spring+summer,1,regular,regular,1,,,1,straight,straight,1,semiStructured,semiStructured,1,medium,medium,1,solid,solid,1,none,none,1,subtleTexture,subtleTexture,1,sporty,classic,0
