id,name,reviewed,category_auto,category_truth,category_match,category_fresh,category_freshmatch,footwearSubcategory_auto,footwearSubcategory_truth,footwearSubcategory_match,footwearSubcategory_fresh,footwearSubcategory_freshmatch,primaryColor_auto,primaryColor_truth,primaryColor_match,primaryColor_fresh,primaryColor_freshmatch,formality_auto,formality_truth,formality_match,formality_fresh,formality_freshmatch,warmth_auto,warmth_truth,warmth_match,warmth_fresh,warmth_freshmatch,seasons_auto,seasons_truth,seasons_match,seasons_fresh,seasons_freshmatch,fit_auto,fit_truth,fit_match,fit_fresh,fit_freshmatch,topLength_auto,topLength_truth,topLength_match,topLength_fresh,topLength_freshmatch,bottomVolume_auto,bottomVolume_truth,bottomVolume_match,bottomVolume_fresh,bottomVolume_freshmatch,structure_auto,structure_truth,structure_match,structure_fresh,structure_freshmatch,fabricWeight_auto,fabricWeight_truth,fabricWeight_match,fabricWeight_fresh,fabricWeight_freshmatch,patternType_auto,patternType_truth,patternType_match,patternType_fresh,patternType_freshmatch,patternScale_auto,patternScale_truth,patternScale_match,patternScale_fresh,patternScale_freshmatch,texture_auto,texture_truth,texture_match,texture_fresh,texture_freshmatch,archetype_auto,archetype_truth,archetype_match,archetype_fresh,archetype_freshmatch
22B76724-DD50-49B5-98FF-8DDC56E65EA1,Accessory,yes,accessory,dress,0,accessory,0,,,1,,1,ink,ink,1,ink,1,1,3,0,1,0,0,0,1,0,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,,slim,0,,0,,,1,,1,,,1,,1,,soft,0,,0,,light,0,,0,solid,floral,0,,0,none,large,0,large,1,subtleTexture,smooth,0,subtleTexture,0,classic,romantic,0,preppy,0
66E7962B-386E-4196-B0A9-A3E772E46FBD,Accessory,yes,accessory,top,0,accessory,0,,,1,,1,navy,navy,1,navy,1,3,0,0,3,0,0,0,1,0,1,autumn+spring+summer+winter,spring+summer,0,autumn+spring+summer+winter,0,,slim,0,,0,,cropped,0,,0,,,1,,1,,structured,0,,0,,light,0,,0,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,classic,minimalist,0,classic,0
C484511D-53CC-415F-8904-53D23B772042,Accessory,yes,accessory,top,0,accessory,0,,,1,,1,forest,forest,1,forest,1,0,0,1,0,1,0,0,1,0,1,autumn+spring+summer+winter,spring+summer,0,autumn+spring+summer+winter,0,,slim,0,,0,,cropped,0,,0,,,1,,1,,,1,,1,,light,0,,0,solid,solid,1,,0,none,none,1,large,0,textured,smooth,0,subtleTexture,0,classic,boho,0,classic,0
927A43F5-4DF0-49D3-8274-232F46663A70,Accessory,yes,accessory,top,0,accessory,0,,,1,,1,mauve,ivory,0,mauve,0,0,0,1,0,1,0,0,1,0,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,,slim,0,,0,,cropped,0,,0,,,1,,1,,soft,0,,0,,light,0,,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,boho,minimalist,0,classic,0
4CA0A558-0F7F-43DC-A491-A6D4B4CEBA50,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,sage,sage,1,sage,1,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,spring+summer,0,autumn+spring+summer,0,regular,relaxed,0,regular,0,,,1,,1,straight,wide,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,smooth,0,romantic,romantic,1,romantic,1
1F043FB6-236F-4A57-BB96-C09FC3FBC1CC,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,sage,sage,1,sage,1,0,1,0,0,0,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,relaxed,0,regular,0,,,1,,1,straight,straight,1,straight,1,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,solid,1,solid,1,none,none,1,none,1,smooth,smooth,1,smooth,1,sporty,preppy,0,sporty,0
2F2C3824-588B-4927-ADA2-B22E61AF014D,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,sage,oat,0,sage,0,0,1,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,soft,0,semiStructured,0,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,smooth,smooth,1,smooth,1,classic,preppy,0,classic,0
FD2B1477-BED3-4479-A6A8-2B7A77BCC348,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,camel,sage,0,camel,0,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,spring+summer,0,autumn+spring+summer,0,regular,regular,1,regular,1,,,1,,1,wide,slim,0,wide,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,,0,none,none,1,medium,0,textured,subtleTexture,0,subtleTexture,1,romantic,romantic,1,romantic,1
337F0DBE-2AF6-487C-BF1F-47D736C9C616,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,charcoal,charcoal,1,charcoal,1,0,1,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,stripe,0,,0,none,small,0,medium,0,textured,textured,1,subtleTexture,0,preppy,preppy,1,preppy,1
794533B0-2376-45A8-8045-B8BBABCBA688,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,ink,ink,1,ink,1,0,0,1,0,1,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,smooth,1,classic,minimalist,0,classic,0
