id,name,reviewed,category_auto,category_truth,category_match,category_fresh,category_freshmatch,footwearSubcategory_auto,footwearSubcategory_truth,footwearSubcategory_match,footwearSubcategory_fresh,footwearSubcategory_freshmatch,primaryColor_auto,primaryColor_truth,primaryColor_match,primaryColor_fresh,primaryColor_freshmatch,formality_auto,formality_truth,formality_match,formality_fresh,formality_freshmatch,warmth_auto,warmth_truth,warmth_match,warmth_fresh,warmth_freshmatch,seasons_auto,seasons_truth,seasons_match,seasons_fresh,seasons_freshmatch,fit_auto,fit_truth,fit_match,fit_fresh,fit_freshmatch,topLength_auto,topLength_truth,topLength_match,topLength_fresh,topLength_freshmatch,bottomVolume_auto,bottomVolume_truth,bottomVolume_match,bottomVolume_fresh,bottomVolume_freshmatch,structure_auto,structure_truth,structure_match,structure_fresh,structure_freshmatch,fabricWeight_auto,fabricWeight_truth,fabricWeight_match,fabricWeight_fresh,fabricWeight_freshmatch,patternType_auto,patternType_truth,patternType_match,patternType_fresh,patternType_freshmatch,patternScale_auto,patternScale_truth,patternScale_match,patternScale_fresh,patternScale_freshmatch,texture_auto,texture_truth,texture_match,texture_fresh,texture_freshmatch,archetype_auto,archetype_truth,archetype_match,archetype_fresh,archetype_freshmatch,feat_descriptor,feat_categoryConfidence,feat_luminanceStdDev,feat_edgeDensity,feat_aspect,feat_fillRatio
22B76724-DD50-49B5-98FF-8DDC56E65EA1,Accessory,yes,accessory,dress,0,accessory,0,,,1,,1,ink,ink,1,ink,1,1,3,0,1,0,0,0,1,0,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,,slim,0,,0,,,1,,1,,,1,,1,,soft,0,,0,,light,0,,0,solid,floral,0,solid,0,none,large,0,none,0,subtleTexture,smooth,0,subtleTexture,0,classic,romantic,0,boho,0,purse,0.1919,0.1038,0.0596,1.7572,0.6289
927A43F5-4DF0-49D3-8274-232F46663A70,Accessory,yes,accessory,top,0,accessory,0,,,1,,1,mauve,ivory,0,mauve,0,0,0,1,0,1,0,0,1,0,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,,slim,0,,0,,cropped,0,,0,,,1,,1,,soft,0,,0,,light,0,,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,boho,minimalist,0,classic,0,hat,0.5876,0.0821,0.0645,1.5194,0.6543
C484511D-53CC-415F-8904-53D23B772042,Accessory,yes,accessory,top,0,accessory,0,,,1,,1,forest,forest,1,forest,1,0,0,1,0,1,0,0,1,0,1,autumn+spring+summer+winter,spring+summer,0,autumn+spring+summer+winter,0,,slim,0,,0,,cropped,0,,0,,,1,,1,,,1,,1,,light,0,,0,solid,solid,1,solid,1,none,none,1,none,1,textured,smooth,0,textured,0,classic,boho,0,classic,0,hat,1.0000,0.1176,0.0755,0.4848,0.8750
66E7962B-386E-4196-B0A9-A3E772E46FBD,Accessory,yes,accessory,top,0,accessory,0,,,1,,1,navy,navy,1,navy,1,3,0,0,3,0,0,0,1,0,1,autumn+spring+summer+winter,spring+summer,0,autumn+spring+summer+winter,0,,slim,0,,0,,cropped,0,,0,,,1,,1,,structured,0,,0,,light,0,,0,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,classic,minimalist,0,preppy,0,necktie,0.0647,0.0968,0.0777,0.9349,0.9082
FD2B1477-BED3-4479-A6A8-2B7A77BCC348,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,camel,sage,0,camel,0,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,spring+summer,0,autumn+spring+summer,0,regular,regular,1,regular,1,,,1,,1,wide,slim,0,wide,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,textured,subtleTexture,0,textured,0,romantic,romantic,1,boho,0,skirt,0.9672,0.1306,0.1018,1.1721,0.7705
D3B66B1A-33C4-49F3-A6D2-FC630B923D79,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,slate,forest,0,slate,0,0,0,1,0,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,textured,smooth,0,textured,0,sporty,sporty,1,sporty,1,shorts,1.0000,0.1564,0.0560,0.8928,0.6797
D2C13082-68AB-42AE-B667-63A2DDA4AE8E,Bottom,yes,bottom,dress,0,bottom,0,,,1,,1,mauve,sage,0,mauve,0,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,floral,0,solid,0,none,medium,0,none,0,textured,subtleTexture,0,textured,0,boho,boho,1,romantic,0,skirt,0.8917,0.1330,0.0966,1.4098,0.6328
DA926F8C-8643-4C6C-85F0-834C67247F92,Bottom,yes,bottom,dress,0,bottom,0,,,1,,1,mauve,burgundy,0,mauve,0,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,,0,straight,0,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,floral,0,solid,0,none,small,0,none,0,textured,smooth,0,textured,0,boho,boho,1,boho,1,skirt,0.7841,0.1377,0.1427,1.2730,0.5117
A40A200F-CE7B-4BBF-8C98-A3169B229553,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,chocolate,chocolate,1,chocolate,1,0,2,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,oversized,0,regular,0,,,1,,1,straight,wide,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,preppy,preppy,1,classic,0,pants,0.9285,0.0617,0.0363,1.0312,0.6074
6F252418-BB1C-432D-97B0-C9ABB19650C7,Bottom,yes,bottom,dress,0,bottom,0,,,1,,1,ink,ink,1,ink,1,1,3,0,1,0,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,floral,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,classic,preppy,0,romantic,0,skirt,0.9715,0.0746,0.0450,1.9027,0.6768
